term,frequency
geven,2
zomaar,2
ideale,2
brutaal,2
initiatieven,2
zelfstandig,2
zorgzaam,2
betrouwbaar,2
zeg,2
spreekt,2
gewerkt,2
reusachtig,2
knapt,2
initiatief,2
iets,2
waarachtig,2
vrouwtje,2
slank,2
grote,2
dikke,2
zoveelste,2
eieren,2
geef,2
helemaal,2
wonder,2
hele,2
grietje,2
duidelijk,2
mensen,2
chauffeur,2
drietonner,2
gedonder,2
welste,2
kankeren,2
tijd,2
vrouw,2
doet,2
vanavond,2
teruggegaan,2
koop,2
kippen,2
wist,2
eindje,2
verbindingspost,2
itje,2
kroontje,2
maken,2
drie,2
zit,2
stoelen,2
nee,2
daarmee,2
zorgen,2
kletsen,2
lou,2
beloften,2
plannen,2
geweldige,2
komt,2
sarong,2
huis,2
gosis,1
gedroeg,1
hoort,1
rapen,1
sigaret,1
rustig,1
briefje,1
staken,1
gevaarlijkste,1
merabi,1
vuurspuwende,1
verzamelen,1
inlichtingen,1
vertrouwelijke,1
verbindingsafdeling,1
doelbewust,1
uitstekend,1
studente,1
tegenstanders,1
woordje,1
vlotte,1
boeniseuri,1
bivak,1
verbindingsgroep,1
voorval,1
wederzijds,1
karang,1
tandjong,1
jacob,1
vervolgt,1
schuld,1
ingevlucht,1
inwoners,1
verschoont,1
zachtjes,1
ontfermt,1
baar,1
wim,1
beroerd,1
daan,1
manschappen,1
luit,1
begrijpt,1
itoe,1
djanganan,1
roept,1
voorhoofd,1
sapoe,1
broekje,1
korte,1
kleden,1
commandanten,1
boone,1
niemans,1
sergeanten,1
onderofficieren,1
vers,1
idjoe,1
kadjang,1
poeti,1
bawang,1
ketimoen,1
bajem,1
menus,1
groenten,1
zélf,1
doorgesproken,1
ochtends,1
menu,1
verdelen,1
amsterdammer,1
rasechte,1
imansen,1
huzaar,1
afloop,1
mars,1
ingerukt,1
spleettenen,1
besloot,1
terugging,1
gecureerd,1
leed,1
controle,1
sociale,1
betere,1
idji,1
lachje,1
ingegaan,1
schuldig,1
geweldig,1
verbrand,1
buitgemaakt,1
verschonen,1
uitbetaalt,1
sma,1
1-8ri,1
18ri,1
zwanger,1
werkt,1
geboren,1
halfbloedjes,1
voorvallen,1
ruimden,1
mestins,1
beantwoord,1
geschroeid,1
kokosnoot,1
schelpen,1
gedroogde,1
gebeurt,1
elders,1
wasvrouwen,1
warme,1
sprake,1
wraakakties,1
doorwerken,1
einde,1
vriendelijk,1
oosthoek,1
zwierven,1
overdracht,1
gelukkigste,1
leken,1
kwetteren,1
wensen,1
slamat,1
